Scan,Element,On Action,DO OFF Command,DO MESSAGE Command,DO WRITE Command,DO INSERT Command,DO CALC Command,DO LOG Command,DO CLEAR Command,DO MESSAGE,I/L Statement,CCS Message
B1_PROT,1,FIRST TIME,N/A,N/A,DO WRITE 0 TO TEMP(0),N/A,N/A,N/A,N/A,N/A,N/A,N/A
B1_PROT,2,"FIRST TIME, DO NOTHING",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B1_PROT,3,ALWAYS,N/A,N/A,DO WRITE TG 13 REG TO TEMP(0),N/A,N/A,N/A,N/A,N/A,N/A,N/A
B1_PROT,4,B1 190 MUX != PREVIOUS,N/A,DO MESSAGE 74796,DO WRITE 0 TO TEMP(0),N/A,N/A,N/A,N/A,DO MESSAGE 74796: T1 Summary Trip Count,N/A,N/A
B1_PROT,5,TG 13 REG != TEMP(0),N/A,DO MESSAGE 11475,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 11475: T1 Protect Monitor T1 Summary I/L Last Trip Status,N/A,N/A
B1_PROT,6,ALWAYS,N/A,N/A,DO WRITE TG 14 REG TO TEMP(0),N/A,N/A,N/A,N/A,N/A,N/A,N/A
B1_PROT,7,B1 191 MUX != PREVIOUS,N/A,DO MESSAGE 74800,DO WRITE 0 TO TEMP(0),N/A,N/A,N/A,N/A,DO MESSAGE 74800: 1AM7 Halo HV Enable Trip Count,N/A,N/A
B1_PROT,8,TG 14 REG != TEMP(0),N/A,DO MESSAGE 11500,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 11500: T1 Protect Mon Halo HV Enable I/L Last Trip Status,N/A,N/A
B1_PROT,9,ALWAYS,N/A,N/A,DO WRITE TG 15 REG TO TEMP(0),N/A,N/A,N/A,N/A,N/A,N/A,N/A
B1_PROT,10,B1 192 MUX != PREVIOUS,N/A,DO MESSAGE 74804,DO WRITE 0 TO TEMP(0),N/A,N/A,N/A,N/A,DO MESSAGE 74804: T1 Protect HV Enable Trip Count,N/A,N/A
B1_PROT,11,TG 15 REG != TEMP(0),N/A,DO MESSAGE 11525,N/A,N/A,N/A,N/A,N/A,DO MESSAGE 11525: T1 Protect Mon T1 Prot HV Ena I/L Last Trip Status,N/A,N/A
B1_PROT,12,"FIRST TIME, DO NOTHING",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
