,Text,Thumbwheel,XT Page,Keyword
0,"EXTRACTED CURRENTS TOTAL CURRENT - MUST BE DONE BEFORE THE LIMIT FIELD, SUM OF BEAM CURRENTS, TOTAL EXTRACTED CURRENT",TK 701 MUX,"02, 26, 27, 7H",Tank
1,"MAIN MAGNET CURRENT, MAIN MAGNET CURRENT READBACK",MG 170 MUX,"02, 31",Magnets
2,"B1 EXTRACTED TIMER ACTIVE, B4 EXTRACTED TIMER ACTIVE, BEAM INJECTED TIMER ACTIVE, BL 1A I1 TIMERACTIVE, BL 1A I2 TIMERACTIVE, BL 1A I3 TIMERACTIVE, BL 1A I4 TIMERACTIVE, BL 1B I1 TIMERACTIVE, BL 1B I2 TIMERACTIVE, BL 1B I3 TIMERACTIVE, BL 1B I4 TIMERACTIVE, BL 2C TIMER ACTIVE, BL1 EXTRACTEDACTIVE, BL2C EXTRACTED TIMER ACTIVE, CYCLOTRON ON/OFF, CYCLOTRON STATUS, I1 INJECTED TIMER ACTIVE, I2 INJECTED TIMER ACTIVE, I3 INJECTED TIMER ACTIVE, I4 INJECTED TIMER ACTIVE, INF/DEF TIMER ACTIVE, MAGNET TIMER ACTIVE, PLATES TIMER ACTIVE, RF TIMER ACTIVE, VACUUM TIMER ACTIVE",MS 20 REG,"02, 04, 06, 07, 08",Miscellanious
3,"CYC TRANSMISSION, MACHINE TRANSMISSION, TRANSMISSION",TK 737 MUX,"02, 04, 2V, 2Z, 7H, DTW",Tank
4,MAIN MAGNET NMR,MG 175 MUX,02,Magnets
5,MAIN MAGNET CURRENT ERROR,MG 179 MUX,"02, 31",Magnets
6,"SPILL MONITOR SUM, SPILL MONITORS TOTAL BEAM LOSS - MUST BE DONE BEFORE THE LIMIT FIELD, TOTAL TANK SPILL",TK 177 MUX,"02, 2V, 7H, DTW, NBIF",Tank
7,TOTAL TANK SPILL %,TK 178 MUX,02,Tank
8,BL1A TIME OF FLIGHT,TK 733 MUX,02,Tank
9,"INFLECTOR +VE VOLTAGE, POSITIVE INFLECTOR RAW MUX",TK 1 MUX,"02, 7M",Tank
10,"INFLECTOR -VE VOLTAGE, NEGATIVE INFLECTOR RAW MUX",TK 2 MUX,"02, 7M",Tank
11,"Q2 VERTICAL FLAG  ABSOLUTE ENCODER POSITION, Q2 VERTICAL FLAG ABSOLUTE ENCODER POSITION, VERTICAL FLAG ABS. ENC. POSITION",TK 247 MUX,"02, 81, 8F",Tank
12,"Q2 VERTICAL FLAG R=53, VERTICAL FLAG T/C TEMPERATURE",RF 482 MUX,"02, 2V",Radio Frequency
